age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit
35,blue-collar,married,primary,no,837,no,0,unknown,502,4,-1,0,unknown,yes
33,management,divorced,secondary,no,429,yes,0,unknown,1225,1,-1,0,unknown,yes
38,management,married,tertiary,no,543,yes,0,unknown,566,4,-1,0,unknown,yes
23,entrepreneur,single,primary,no,428,yes,0,unknown,393,2,-1,0,unknown,yes
60,blue-collar,married,primary,no,1612,yes,1,unknown,997,1,-1,0,unknown,yes
48,management,married,tertiary,no,2086,yes,0,unknown,681,2,-1,0,unknown,yes
45,entrepreneur,divorced,tertiary,no,154,yes,0,unknown,468,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1533,yes,0,unknown,984,4,-1,0,unknown,yes
52,management,married,unknown,no,2238,yes,0,unknown,839,1,-1,0,unknown,yes
35,blue-collar,divorced,primary,no,724,yes,0,unknown,934,2,-1,0,unknown,yes
43,technician,married,secondary,no,2715,yes,0,unknown,1362,2,-1,0,unknown,yes
52,housemaid,married,secondary,no,2927,yes,0,unknown,931,3,-1,0,unknown,yes
53,technician,divorced,primary,no,1751,yes,0,unknown,474,1,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,448,yes,0,unknown,827,1,-1,0,unknown,yes
41,blue-collar,single,primary,no,1875,yes,0,unknown,1317,1,-1,0,unknown,yes
39,management,divorced,tertiary,no,940,yes,1,unknown,1212,1,-1,0,unknown,yes
59,retired,married,secondary,no,1803,yes,1,unknown,1087,2,-1,0,unknown,yes
41,blue-collar,married,secondary,no,2531,yes,0,unknown,852,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1724,yes,0,unknown,627,2,-1,0,unknown,yes
40,admin.,married,secondary,no,1815,yes,0,unknown,702,1,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1858,yes,0,unknown,757,1,-1,0,unknown,yes
60,retired,married,primary,no,1822,yes,0,unknown,921,1,-1,0,unknown,yes
40,technician,single,unknown,no,2844,yes,0,unknown,1007,2,-1,0,unknown,yes
57,technician,married,tertiary,no,423,no,0,unknown,844,2,-1,0,unknown,yes
51,blue-collar,married,secondary,no,3464,yes,0,unknown,919,1,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,3236,yes,0,unknown,1263,3,-1,0,unknown,yes
41,blue-collar,married,secondary,no,1707,yes,0,unknown,1115,4,-1,0,unknown,yes
52,blue-collar,divorced,primary,no,280,yes,0,unknown,752,1,-1,0,unknown,yes
59,blue-collar,married,primary,no,744,yes,0,unknown,693,1,-1,0,unknown,yes
44,blue-collar,married,unknown,no,570,yes,0,unknown,481,1,-1,0,unknown,yes
49,unknown,married,primary,no,765,yes,1,unknown,518,2,-1,0,unknown,yes
40,services,married,primary,no,416,yes,0,unknown,912,2,-1,0,unknown,yes
41,admin.,married,primary,no,205,yes,0,unknown,498,1,-1,0,unknown,yes
44,technician,married,tertiary,no,3096,yes,0,unknown,903,2,-1,0,unknown,yes
60,services,single,primary,no,737,yes,0,unknown,912,2,-1,0,unknown,yes
29,management,married,tertiary,no,3643,no,0,unknown,1156,2,-1,0,unknown,yes
41,retired,divorced,primary,no,252,yes,0,unknown,1111,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,2342,yes,0,unknown,1028,1,-1,0,unknown,yes
42,technician,single,secondary,no,1694,yes,0,unknown,1381,6,-1,0,unknown,yes
36,services,single,unknown,no,705,yes,0,unknown,513,1,-1,0,unknown,yes
39,technician,married,tertiary,no,518,yes,1,unknown,808,1,-1,0,unknown,yes
31,self-employed,single,tertiary,no,568,yes,0,unknown,674,1,-1,0,unknown,yes
26,blue-collar,married,secondary,no,670,yes,0,unknown,1102,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,516,yes,0,unknown,686,1,-1,0,unknown,yes
29,admin.,single,secondary,no,587,yes,1,unknown,799,1,-1,0,unknown,yes
37,services,divorced,secondary,no,473,yes,0,unknown,617,2,-1,0,unknown,yes
33,blue-collar,single,secondary,no,142,yes,0,unknown,764,2,-1,0,unknown,yes
24,technician,single,secondary,no,832,yes,0,unknown,904,1,-1,0,unknown,yes
50,admin.,divorced,secondary,no,786,yes,0,unknown,1219,1,-1,0,unknown,yes
27,technician,single,tertiary,no,2862,yes,0,unknown,890,1,-1,0,unknown,yes
54,management,single,tertiary,no,3048,yes,0,unknown,1197,3,-1,0,unknown,yes
30,technician,single,secondary,no,1269,yes,0,unknown,1135,5,-1,0,unknown,yes
34,blue-collar,married,primary,no,1113,yes,1,unknown,1039,4,-1,0,unknown,yes
37,management,single,secondary,no,1206,yes,0,unknown,1132,4,-1,0,unknown,yes
41,admin.,single,secondary,no,1416,yes,0,unknown,876,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,1269,yes,0,unknown,932,2,-1,0,unknown,yes
31,admin.,married,secondary,no,521,yes,0,unknown,605,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,1169,yes,0,unknown,1002,4,-1,0,unknown,yes
43,services,divorced,secondary,no,1433,yes,0,unknown,550,3,-1,0,unknown,yes
37,management,divorced,tertiary,no,546,yes,0,unknown,1340,2,-1,0,unknown,yes
30,technician,single,tertiary,no,1285,yes,1,unknown,953,6,-1,0,unknown,yes
41,technician,married,secondary,no,924,yes,0,unknown,577,5,-1,0,unknown,yes
36,blue-collar,married,secondary,no,3060,yes,0,unknown,444,1,-1,0,unknown,yes
35,blue-collar,divorced,secondary,no,424,yes,0,unknown,1144,1,-1,0,unknown,yes
29,services,single,secondary,no,695,yes,0,unknown,1384,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,526,yes,0,unknown,1217,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,426,yes,0,unknown,180,2,-1,0,unknown,yes
35,services,married,secondary,no,2999,yes,0,unknown,1369,1,-1,0,unknown,yes
34,technician,single,secondary,no,509,yes,0,unknown,1128,4,-1,0,unknown,yes
31,admin.,single,secondary,no,854,yes,1,unknown,1023,1,-1,0,unknown,yes
44,technician,divorced,secondary,no,1382,yes,0,unknown,648,3,-1,0,unknown,yes
36,blue-collar,married,primary,no,831,yes,1,unknown,1038,2,-1,0,unknown,yes
35,blue-collar,married,unknown,no,3152,yes,0,unknown,837,2,-1,0,unknown,yes
41,blue-collar,married,primary,no,1603,yes,0,unknown,1248,2,-1,0,unknown,yes
31,blue-collar,single,primary,no,640,yes,0,unknown,563,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,1567,yes,0,unknown,898,1,-1,0,unknown,yes
32,technician,married,secondary,no,1205,yes,0,unknown,779,2,-1,0,unknown,yes
36,management,married,tertiary,no,1257,yes,1,unknown,946,2,-1,0,unknown,yes
30,blue-collar,single,secondary,yes,663,yes,0,unknown,410,1,-1,0,unknown,yes
37,technician,single,secondary,no,1569,yes,0,unknown,791,1,-1,0,unknown,yes
36,blue-collar,married,primary,no,1022,yes,0,unknown,647,2,-1,0,unknown,yes
31,management,single,tertiary,no,1236,yes,0,unknown,504,2,-1,0,unknown,yes
27,technician,married,secondary,no,2210,yes,1,unknown,851,1,-1,0,unknown,yes
34,retired,married,primary,no,3072,no,0,unknown,1353,1,-1,0,unknown,yes
30,technician,single,tertiary,no,1633,yes,0,unknown,1357,2,-1,0,unknown,yes
32,technician,single,tertiary,no,3117,yes,0,unknown,854,2,-1,0,unknown,yes
37,technician,single,secondary,no,2734,yes,0,unknown,795,1,-1,0,unknown,yes
32,blue-collar,married,secondary,no,1197,yes,0,unknown,915,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,424,yes,0,unknown,519,3,-1,0,unknown,yes
35,blue-collar,married,primary,no,1392,yes,0,unknown,1228,8,-1,0,unknown,yes
35,self-employed,divorced,tertiary,no,1687,yes,0,unknown,734,2,-1,0,unknown,yes
30,blue-collar,single,secondary,no,663,yes,0,unknown,781,1,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,202,yes,0,unknown,1009,1,-1,0,unknown,yes
45,admin.,married,secondary,no,573,yes,0,unknown,886,3,-1,0,unknown,yes
33,blue-collar,married,secondary,no,1765,yes,0,unknown,586,3,-1,0,unknown,yes
44,management,divorced,tertiary,no,3308,no,0,unknown,595,6,-1,0,unknown,yes
40,blue-collar,married,primary,no,702,yes,0,unknown,997,3,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2563,yes,0,unknown,1248,2,-1,0,unknown,yes
30,technician,married,tertiary,no,964,yes,0,unknown,412,2,-1,0,unknown,yes
44,technician,divorced,secondary,no,1612,yes,0,unknown,784,11,-1,0,unknown,yes
34,services,married,secondary,no,93,yes,0,unknown,680,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,549,no,0,unknown,677,2,-1,0,unknown,yes
28,self-employed,single,tertiary,no,424,yes,0,unknown,1322,2,-1,0,unknown,yes
32,admin.,single,secondary,no,1043,yes,0,unknown,1163,3,-1,0,unknown,yes
37,blue-collar,divorced,secondary,no,740,yes,0,unknown,640,2,-1,0,unknown,yes
34,management,married,tertiary,no,2259,yes,0,unknown,888,4,-1,0,unknown,yes
38,admin.,divorced,secondary,no,622,yes,0,unknown,429,2,-1,0,unknown,yes
28,admin.,single,secondary,no,883,yes,0,unknown,739,6,-1,0,unknown,yes
31,management,divorced,tertiary,no,1516,yes,0,unknown,1186,4,-1,0,unknown,yes
59,services,married,secondary,no,405,yes,0,unknown,746,3,-1,0,unknown,yes
24,blue-collar,married,secondary,no,1103,yes,0,unknown,889,3,-1,0,unknown,yes
26,services,single,secondary,no,1305,yes,0,unknown,761,2,-1,0,unknown,yes
59,retired,single,secondary,no,775,yes,0,unknown,1038,5,-1,0,unknown,yes
30,entrepreneur,single,primary,no,424,yes,1,unknown,1027,1,-1,0,unknown,yes
37,admin.,married,secondary,no,698,yes,0,unknown,729,3,-1,0,unknown,yes
30,admin.,single,secondary,no,260,yes,1,unknown,749,1,-1,0,unknown,yes
25,blue-collar,married,secondary,no,521,yes,0,unknown,707,1,-1,0,unknown,yes
44,services,divorced,secondary,no,475,yes,1,unknown,1422,2,-1,0,unknown,yes
29,management,married,tertiary,no,738,no,0,unknown,927,2,-1,0,unknown,yes
26,management,single,tertiary,no,3428,yes,0,unknown,1322,2,-1,0,unknown,yes
26,technician,single,secondary,no,1088,yes,0,unknown,574,3,-1,0,unknown,yes
27,services,single,secondary,no,478,yes,0,unknown,541,2,-1,0,unknown,yes
25,self-employed,single,secondary,no,1597,yes,0,unknown,613,2,-1,0,unknown,yes
28,management,married,secondary,no,716,yes,0,unknown,505,1,-1,0,unknown,yes
23,services,single,secondary,no,1085,yes,0,unknown,1129,1,-1,0,unknown,yes
34,management,single,tertiary,no,1447,yes,0,unknown,858,2,-1,0,unknown,yes
28,student,single,secondary,no,1352,yes,0,unknown,1364,1,-1,0,unknown,yes
51,entrepreneur,married,unknown,no,1029,yes,0,unknown,558,9,-1,0,unknown,yes
35,blue-collar,married,secondary,no,424,yes,1,unknown,541,1,-1,0,unknown,yes
35,admin.,married,secondary,no,827,yes,0,unknown,537,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,673,yes,0,unknown,787,2,-1,0,unknown,yes
45,unemployed,divorced,secondary,no,2745,yes,0,unknown,744,1,-1,0,unknown,yes
60,blue-collar,divorced,secondary,no,424,yes,0,unknown,1146,1,-1,0,unknown,yes
56,technician,married,secondary,no,1012,yes,0,unknown,533,2,-1,0,unknown,yes
27,management,single,tertiary,no,3700,yes,0,unknown,785,3,-1,0,unknown,yes
30,admin.,married,secondary,no,1278,yes,0,unknown,788,3,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,1017,yes,0,unknown,828,2,-1,0,unknown,yes
29,blue-collar,single,secondary,no,406,yes,0,unknown,809,2,-1,0,unknown,yes
38,management,divorced,tertiary,no,3122,yes,0,unknown,1235,2,-1,0,unknown,yes
30,blue-collar,married,secondary,no,909,yes,0,unknown,1075,3,-1,0,unknown,yes
44,blue-collar,single,primary,no,1855,yes,0,unknown,823,3,-1,0,unknown,yes
36,management,single,tertiary,no,3493,yes,0,unknown,909,1,-1,0,unknown,yes
38,technician,married,secondary,no,650,yes,0,unknown,759,3,-1,0,unknown,yes
36,blue-collar,single,secondary,no,789,yes,1,unknown,1093,2,-1,0,unknown,yes
37,management,divorced,secondary,no,440,yes,0,unknown,636,1,-1,0,unknown,yes
35,management,single,tertiary,no,988,yes,0,unknown,760,1,-1,0,unknown,yes
38,admin.,divorced,secondary,no,443,yes,0,unknown,602,2,-1,0,unknown,yes
40,services,married,primary,no,1466,yes,0,unknown,848,2,-1,0,unknown,yes
42,unemployed,divorced,secondary,no,1933,yes,0,unknown,849,2,-1,0,unknown,yes
46,management,divorced,tertiary,no,3723,yes,0,unknown,1185,1,-1,0,unknown,yes
35,technician,divorced,secondary,no,3298,yes,0,unknown,689,10,-1,0,unknown,yes
34,technician,divorced,secondary,no,1756,yes,0,unknown,1065,15,-1,0,unknown,yes
32,services,married,secondary,no,395,yes,0,unknown,1164,2,-1,0,unknown,yes
50,unemployed,married,secondary,no,2850,yes,0,unknown,880,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,1116,yes,1,unknown,1222,3,-1,0,unknown,yes
36,technician,single,secondary,no,2989,yes,0,unknown,807,3,-1,0,unknown,yes
53,blue-collar,divorced,primary,no,2452,yes,0,unknown,1395,2,-1,0,unknown,yes
46,management,single,tertiary,no,2560,yes,0,unknown,970,2,-1,0,unknown,yes
26,management,single,tertiary,no,1401,yes,0,unknown,226,2,-1,0,unknown,yes
45,technician,single,secondary,no,833,yes,0,unknown,884,4,-1,0,unknown,yes
31,unemployed,divorced,primary,no,424,yes,0,unknown,743,12,-1,0,unknown,yes
29,management,single,tertiary,no,424,yes,0,unknown,537,12,-1,0,unknown,yes
53,entrepreneur,single,secondary,no,486,yes,0,unknown,1022,5,-1,0,unknown,yes
27,blue-collar,married,primary,no,839,yes,0,unknown,1135,2,-1,0,unknown,yes
39,management,married,tertiary,no,2499,yes,0,unknown,524,2,-1,0,unknown,yes
36,services,married,secondary,no,2599,yes,0,unknown,392,1,-1,0,unknown,yes
41,blue-collar,married,primary,no,567,yes,1,unknown,657,2,-1,0,unknown,yes
36,services,married,primary,no,424,yes,0,unknown,1015,1,-1,0,unknown,yes
32,technician,married,secondary,no,1114,yes,0,unknown,810,1,-1,0,unknown,yes
35,services,married,secondary,no,576,yes,0,unknown,561,1,-1,0,unknown,yes
36,management,single,tertiary,no,359,yes,0,unknown,1040,1,-1,0,unknown,yes
35,management,married,tertiary,no,1273,yes,0,unknown,228,3,-1,0,unknown,yes
30,blue-collar,single,secondary,no,1356,yes,0,unknown,745,2,-1,0,unknown,yes
42,blue-collar,married,secondary,no,866,yes,0,unknown,669,5,-1,0,unknown,yes
42,technician,single,secondary,yes,17,yes,0,unknown,553,5,-1,0,unknown,yes
32,blue-collar,married,primary,no,838,yes,0,unknown,774,4,-1,0,unknown,yes
29,blue-collar,single,secondary,no,684,yes,0,unknown,705,14,-1,0,unknown,yes
44,management,divorced,tertiary,yes,146,yes,0,unknown,430,4,-1,0,unknown,yes
32,technician,single,secondary,no,1626,yes,0,unknown,1121,3,-1,0,unknown,yes
31,unemployed,married,secondary,no,510,yes,1,unknown,951,2,-1,0,unknown,yes
40,self-employed,married,secondary,yes,52,yes,1,unknown,930,3,-1,0,unknown,yes
43,entrepreneur,married,secondary,no,424,no,0,unknown,1005,7,-1,0,unknown,yes
27,management,single,secondary,no,602,yes,0,unknown,730,2,-1,0,unknown,yes
37,services,single,secondary,no,702,yes,0,unknown,1023,3,-1,0,unknown,yes
23,services,single,secondary,no,848,yes,0,unknown,765,1,-1,0,unknown,yes
25,management,married,primary,no,592,yes,0,unknown,797,1,-1,0,unknown,yes
26,blue-collar,single,secondary,yes,393,yes,0,unknown,480,2,-1,0,unknown,yes
47,blue-collar,divorced,primary,no,550,yes,0,unknown,1413,2,-1,0,unknown,yes
35,admin.,married,secondary,no,352,yes,0,unknown,1235,7,-1,0,unknown,yes
32,technician,single,tertiary,no,3369,yes,0,unknown,1218,4,-1,0,unknown,yes
45,management,divorced,secondary,no,1067,yes,0,unknown,631,1,-1,0,unknown,yes
30,admin.,divorced,secondary,no,800,yes,0,unknown,522,15,-1,0,unknown,yes
29,services,single,secondary,no,225,yes,0,unknown,576,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,3321,yes,0,unknown,970,2,-1,0,unknown,yes
23,blue-collar,single,secondary,no,915,yes,0,unknown,636,1,-1,0,unknown,yes
27,management,single,tertiary,no,523,yes,0,unknown,764,2,-1,0,unknown,yes
27,management,single,tertiary,yes,61,yes,0,unknown,523,2,-1,0,unknown,yes
29,services,single,secondary,no,456,yes,0,unknown,561,1,-1,0,unknown,yes
30,self-employed,married,tertiary,no,966,yes,1,unknown,1276,6,-1,0,unknown,yes
36,blue-collar,married,primary,no,826,yes,0,unknown,912,1,-1,0,unknown,yes
35,admin.,divorced,secondary,no,860,yes,0,unknown,901,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1974,no,0,unknown,206,1,-1,0,unknown,yes
59,retired,divorced,primary,no,351,yes,0,unknown,902,2,-1,0,unknown,yes
47,entrepreneur,married,secondary,no,424,no,0,unknown,1273,1,-1,0,unknown,yes
58,entrepreneur,married,tertiary,no,1260,no,0,unknown,1105,2,-1,0,unknown,yes
37,management,single,tertiary,no,664,no,0,unknown,1085,1,-1,0,unknown,yes
46,admin.,single,secondary,no,1257,yes,0,unknown,506,2,-1,0,unknown,yes
43,blue-collar,single,secondary,no,742,yes,0,unknown,734,2,-1,0,unknown,yes
27,management,single,tertiary,no,1121,yes,0,unknown,588,3,-1,0,unknown,yes
38,services,divorced,secondary,no,485,no,0,unknown,634,1,-1,0,unknown,yes
53,housemaid,married,primary,no,528,no,1,unknown,699,1,-1,0,unknown,yes
47,blue-collar,married,secondary,no,2117,no,0,unknown,758,2,-1,0,unknown,yes
56,housemaid,divorced,primary,yes,1593,no,0,unknown,1321,1,-1,0,unknown,yes
41,housemaid,married,secondary,no,1284,no,0,unknown,1029,2,-1,0,unknown,yes
29,self-employed,married,secondary,no,848,yes,0,unknown,560,15,-1,0,unknown,yes
50,technician,married,secondary,no,839,yes,0,unknown,492,5,-1,0,unknown,yes
45,blue-collar,divorced,primary,no,1253,no,0,unknown,999,3,-1,0,unknown,yes
35,blue-collar,married,secondary,no,1266,yes,0,unknown,878,4,-1,0,unknown,yes
26,technician,single,secondary,no,1062,yes,0,unknown,707,5,-1,0,unknown,yes
26,admin.,married,secondary,no,1128,yes,1,unknown,1188,2,-1,0,unknown,yes
37,blue-collar,married,unknown,no,1792,no,1,unknown,379,2,-1,0,unknown,yes
30,admin.,single,secondary,no,647,yes,0,unknown,856,11,-1,0,unknown,yes
38,management,single,tertiary,no,1042,yes,0,unknown,458,4,-1,0,unknown,yes
37,services,divorced,secondary,no,743,yes,0,unknown,465,3,-1,0,unknown,yes
53,technician,married,secondary,no,903,no,0,unknown,646,2,-1,0,unknown,yes
29,blue-collar,single,primary,no,637,yes,0,unknown,1416,3,-1,0,unknown,yes
35,management,single,tertiary,no,492,no,0,unknown,1053,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,2514,yes,0,unknown,367,2,-1,0,unknown,yes
55,blue-collar,married,unknown,no,3490,no,0,unknown,683,3,-1,0,unknown,yes
49,management,divorced,secondary,no,383,yes,0,unknown,1030,10,-1,0,unknown,yes
50,services,married,secondary,no,1857,no,0,unknown,876,1,-1,0,unknown,yes
43,management,single,tertiary,no,1438,no,0,unknown,894,1,-1,0,unknown,yes
58,self-employed,divorced,tertiary,no,1706,no,0,unknown,698,1,-1,0,unknown,yes
38,technician,married,primary,no,641,yes,0,unknown,489,6,-1,0,unknown,yes
48,blue-collar,divorced,primary,no,607,no,0,unknown,929,1,-1,0,unknown,yes
59,management,married,secondary,no,1661,no,0,unknown,1427,3,-1,0,unknown,yes
58,blue-collar,married,secondary,no,449,no,0,unknown,484,3,-1,0,unknown,yes
36,self-employed,single,tertiary,no,3158,no,0,unknown,1097,3,-1,0,unknown,yes
42,entrepreneur,married,tertiary,no,3249,no,0,unknown,872,3,-1,0,unknown,yes
41,admin.,single,secondary,no,1224,no,1,unknown,581,4,-1,0,unknown,yes
42,admin.,married,secondary,no,529,no,0,unknown,1113,4,-1,0,unknown,yes
39,management,married,tertiary,no,281,no,1,unknown,886,8,-1,0,unknown,yes
57,housemaid,married,primary,no,1048,no,1,unknown,861,1,-1,0,unknown,yes
52,retired,married,unknown,no,717,no,0,unknown,704,1,-1,0,unknown,yes
59,retired,married,unknown,no,1427,no,0,unknown,1138,1,-1,0,unknown,yes
56,blue-collar,married,secondary,no,1568,no,0,unknown,925,1,-1,0,unknown,yes
49,management,married,tertiary,no,488,no,0,unknown,584,1,-1,0,unknown,yes
35,blue-collar,divorced,unknown,no,588,no,0,unknown,953,2,-1,0,unknown,yes
36,unemployed,married,secondary,no,1971,no,0,unknown,593,2,-1,0,unknown,yes
40,admin.,single,tertiary,no,1601,no,0,unknown,1193,2,-1,0,unknown,yes
55,blue-collar,married,secondary,no,424,no,0,unknown,612,2,-1,0,unknown,yes
58,admin.,married,secondary,no,1237,no,0,unknown,879,1,-1,0,unknown,yes
39,self-employed,married,tertiary,no,2439,no,0,unknown,649,5,-1,0,unknown,yes
47,housemaid,single,tertiary,no,2869,no,0,unknown,977,6,-1,0,unknown,yes
40,management,married,secondary,no,829,yes,0,unknown,575,2,-1,0,unknown,yes
35,blue-collar,married,tertiary,no,2610,no,0,unknown,1100,6,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1397,yes,0,unknown,1184,2,-1,0,unknown,yes
48,management,divorced,tertiary,no,926,no,1,unknown,1170,7,-1,0,unknown,yes
24,blue-collar,single,secondary,yes,269,yes,0,unknown,463,3,-1,0,unknown,yes
49,blue-collar,married,primary,no,784,yes,0,unknown,511,2,-1,0,unknown,yes
36,blue-collar,married,secondary,no,698,yes,0,unknown,684,11,-1,0,unknown,yes
52,retired,divorced,tertiary,no,2854,yes,1,unknown,739,4,-1,0,unknown,yes
42,entrepreneur,single,unknown,no,747,no,0,unknown,615,1,-1,0,unknown,yes
36,services,married,secondary,no,1381,no,0,unknown,1061,1,-1,0,unknown,yes
36,blue-collar,divorced,secondary,no,1061,yes,0,unknown,1250,2,-1,0,unknown,yes
48,unemployed,single,tertiary,no,2697,no,0,unknown,1057,1,-1,0,unknown,yes
51,management,single,secondary,no,1868,yes,0,unknown,1173,3,-1,0,unknown,yes
51,blue-collar,married,secondary,no,457,no,1,unknown,719,3,-1,0,unknown,yes
46,technician,married,secondary,no,959,yes,0,unknown,748,2,-1,0,unknown,yes
37,management,married,tertiary,no,424,no,0,unknown,635,6,-1,0,unknown,yes
36,entrepreneur,married,tertiary,no,2630,no,0,unknown,1418,4,-1,0,unknown,yes
47,management,married,secondary,no,2556,no,0,unknown,554,1,-1,0,unknown,yes
40,technician,divorced,tertiary,no,424,no,0,unknown,520,1,-1,0,unknown,yes
38,student,single,tertiary,no,2730,no,0,unknown,1224,3,-1,0,unknown,yes
40,management,married,secondary,no,530,no,0,unknown,674,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,2267,yes,0,unknown,772,3,-1,0,unknown,yes
60,management,married,tertiary,no,2724,no,0,unknown,1415,3,-1,0,unknown,yes
39,self-employed,single,tertiary,no,849,no,0,unknown,1008,1,-1,0,unknown,yes
51,services,divorced,secondary,no,433,no,0,unknown,369,2,-1,0,unknown,yes
27,admin.,married,secondary,no,344,yes,0,unknown,1307,2,-1,0,unknown,yes
41,management,single,tertiary,no,3659,no,0,unknown,1312,1,-1,0,unknown,yes
42,blue-collar,single,primary,no,3173,no,0,unknown,959,1,-1,0,unknown,yes
41,entrepreneur,married,secondary,no,1125,no,0,unknown,705,1,-1,0,unknown,yes
33,technician,married,secondary,no,428,yes,1,unknown,623,2,-1,0,unknown,yes
46,admin.,married,secondary,no,550,no,0,unknown,1177,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,1090,yes,0,unknown,702,4,-1,0,unknown,yes
41,blue-collar,married,primary,no,643,no,1,unknown,1326,3,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,2833,no,0,unknown,1095,4,-1,0,unknown,yes
55,retired,divorced,secondary,no,1845,no,1,unknown,989,1,-1,0,unknown,yes
53,technician,married,secondary,no,1659,no,0,unknown,1207,3,-1,0,unknown,yes
55,housemaid,married,primary,no,2194,no,0,unknown,914,2,-1,0,unknown,yes
39,services,married,secondary,no,2537,yes,0,unknown,583,1,-1,0,unknown,yes
40,entrepreneur,married,tertiary,yes,424,no,0,unknown,940,4,-1,0,unknown,yes
59,retired,married,primary,no,1494,no,0,unknown,829,1,-1,0,unknown,yes
